PRESIDENCIA MUNICIPAL
02/07/2018 11:45(UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CON_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
2648,2648,0,2648,100.0000,2441,92.1827,21.7145,47,1456583,913470,912031,62.7132

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,MC,PANAL,PVEM,PES,M,PT,CQ,QI,MORENA_PT_PES,MORENA_PT,MORENA_PES,PT_PES,PRI_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,CAND_IND_1,CAND_IND_2,CAND_IND_3,CAND_IND_4,CAND_IND_5,CAND_IND_6,CAND_IND_7,CAND_IND_8,CAND_IND_9,CAND_IND_10,CAND_IND_11,CAND_IND_12,CAND_IND_13,CAND_IND_14,CAND_IND_15,CAND_IND_16,CAND_IND_17,CAND_IND_18,CAND_IND_19,CAND_IND_20,CAND_IND_21,CAND_IND_22,CAND_IND_23,CAND_IND_24,CAND_IND_25,CAND_IND_26,CAND_IND_27,CAND_IND_28,CAND_IND_29,CAND_IND_30,CAND_IND_31,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
"'220009E0100","'220009E0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0009",21,"E",00,"NO URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,455,21,SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE,,D,,01/07/2018 23:22:24,,,CATD,ESCANER,
"'220009E0200","'220009E0200",22,"QUERETARO",1,"AMEALCO DE BONFIL","0009",22,"E",00,"NO URBANA",05,290,348,1,347,263,55,0,,3,4,0,7,2,1,0,0,0,0,0,4,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,8,347,347,617,21,,1,D,07A91B50878BDF6E532FE3C09F02B57B4B7445C7704CA3A8E80534C748D29A78,02/07/2018 00:02:48,02/07/2018 03:50:32,02/07/2018 04:13:23,CATD,ESCANER,ACTA PREP
"220010B0100","220010B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0010",23,"B",00,"NO URBANA",05,251,308,2,310,169,103,2,,1,6,0,2,1,1,0,2,0,0,0,7,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,16,Ilegible,310,541,21,,1,D,C3391505E90A15A12D06F126567E4D18C77518D36639894CF78BDFFBC4C0B3A1,02/07/2018 01:47:40,02/07/2018 03:29:47,02/07/2018 04:07:53,CATD,ESCANER,ACTA PREP
"220010C0100","220010C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0010",24,"C",00,"NO URBANA",05,232,328,1,329,163,114,2,,6,3,0,7,3,3,1,0,0,0,0,14,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,13,329,329,540,21,,1,D,0D5C449F1A2BC80C13A8E4AF3C0EFED9A63E500B57316C3C756B643CF0C5132C,02/07/2018 01:51:20,02/07/2018 02:09:17,02/07/2018 02:56:02,CATD,ESCANER,ACTA PREP
"220011B0100","220011B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0011",25,"B",00,"NO URBANA",05,151,314,6,314,163,91,0,,12,8,0,14,4,3,1,0,1,0,0,3,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,14,314,314,444,21,,1,D,40911DD7A8C43F3EB5B7D74E7E0FDFB44D0C7A8CBDC5DFEFC81E41D331AB0603,01/07/2018 22:53:54,01/07/2018 23:02:06,01/07/2018 23:02:56,CATD,ESCANER,ACTA PREP
"220011C0100","220011C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0011",26,"C",00,"NO URBANA",05,150,312,2,314,167,88,4,,8,2,2,21,3,1,6,1,1,0,0,1,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,9,314,314,443,21,,1,D,A8156478761A0F2FE92CC4E7FDE31A786050199F9302D02DFB61FE1AD9FFA741,01/07/2018 22:55:47,01/07/2018 23:02:58,01/07/2018 23:04:16,CATD,ESCANER,ACTA PREP
"'220011E0100","'220011E0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0011",27,"E",00,"NO URBANA",05,164,364,3,367,183,122,3,,7,8,0,12,7,2,3,0,0,0,0,10,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,10,367,367,510,21,,1,D,24F684CCA45E34F7052D209C8E0A705CEE87E6E2916CA98D909F1FF7AB248F33,01/07/2018 22:04:15,01/07/2018 22:19:47,01/07/2018 22:20:44,CATD,ESCANER,ACTA PREP
"220012B0100","220012B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0012",28,"B",00,"NO URBANA",05,132,302,3,0,123,113,8,,3,8,3,8,9,Sin dato,3,2,0,0,0,11,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,14,305,305,416,21,ALGÃN CAMPO ILEGIBLE O SIN DATO,1,D,69482563B729C29C8E3251F3B40637ACC912DBE1D430C94200B80F25561F7C4F,01/07/2018 23:59:19,02/07/2018 00:19:54,02/07/2018 00:22:11,CATD,ESCANER,ACTA PREP
"220012C0100","220012C0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0012",29,"C",00,"NO URBANA",05,138,295,4,299,110,132,10,,2,3,3,12,6,1,2,23,0,0,0,4,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,0,12,299,320,416,21,,1,D,1749F5EA717B0089719AA477172198FBA16DFF0539F0528950F7BEB488F0965E,01/07/2018 23:08:33,01/07/2018 23:16:30,01/07/2018 23:21:59,CATD,ESCANER,ACTA PREP
"220013B0100","220013B0100",22,"QUERETARO",1,"AMEALCO DE BONFIL","0013",30,"B",00,"NO URBANA",05,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,,,,,,,,-,-,-,-,,,,,,,,,,455,21,SIN ACTA POR PAQUETE ENTREGADO SIN SOBRE,,D,,02/07/2018 00:29:26,,,CATD,ESCANER,
