ID_ESTADO,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
22,13,MORENA-PT-PES,ANA LUISA CHAVEZ RUBIO,HEYDY ESTELA ROSAS PEREZ
22,13,PRI-PVEM,LETICIA ARACELY MERCADO HERRERA,MARIA GUADALUPE JOVITA BALDERAS SANCHEZ
22,13,CAND_25,EMMANUELLE HERNANDEZ RODRIGUEZ,RUBI ESPINOZA ESPINOZA
22,14,PAN,LETICIA RUBIO MONTES,INDIRA HORNABLENDA OLVERA TREJO
22,14,PRD,LETICIA RUBIO MONTES,INDIRA HORNABLENDA OLVERA TREJO
22,14,MC,ROSA MARIA GARCIA SUAREZ,JULIA ALEJANDRA AGUILAR GARCIA
22,14,NA,LAURA ELENA GUTIERREZ MEJIA,PATRICIA CAMACHO ARANDA
22,14,CQ,LUIS ANTONIO PEREZ HERNANDEZ,JOSE LUIS AGUILERA ORTIZ
22,14,QI,GABRIELA SANCHEZ MAYORGA,MARIA DE LA LUZ LOPEZ PIÑA
22,14,MORENA-PT-PES,ARMANDO TINAJERO BARRERA,MA. GLORIA HERNANDEZ ALMARAZ
22,14,PRI-PVEM,JOSE ROBERTO PANTOJA MONTES,JUAN MUÑOZ ZAMANO
22,15,PAN,ATALI SOFIA RANGEL ORTIZ,MARIVEL CARRANZA SILVA
22,15,PRI,KARINA CAREAGA PINEDA,LEADY ADILENE OLVERA CORDOBA
22,15,PRD,ATALI SOFIA RANGEL ORTIZ,MARIVEL CARRANZA SILVA
22,15,MC,ATALI SOFIA RANGEL ORTIZ,MARIVEL CARRANZA SILVA
22,15,NA,CARLOS HERRERA DURAN,JOSE ANTONIO HERNANDEZ SOTO
22,15,PVEM,GABRIELA QUINTANAR RICO,LAURA GABRIELA ALVAREZ QUINTANAR
22,15,PES,MAURO MARQUEZ GONZALEZ,JUAN DIEGO VILLEGAS COBOS
22,15,morena,JERONIMO MAR MENDOZA,GREGORIO CERVANTES GARCIA
22,15,PT,KARINA AIDEE RUBIO MARTINEZ,MA. ELDA ARELY SANCHEZ ROMERO
22,15,CQ,MARICELA LARA  GARCIA,ARACELI TORRES 
22,15,QI,SERGIO HERRERA HERRERA,JOSE LUIS DIAZ GONZALEZ
